method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,20um,0.1,F1S,O_N_37_3A,37,,3A,4.458229108,9.35455128,old-0.1-20
old method,20um,0.1,F1S,O_N_37_4A,37,,4A,16.50858345,23.29976007,old-0.1-20
old method,20um,0.1,F1S,O_N_37_8A,37,,8A,12.14930213,18.78216739,old-0.1-20
old method,20um,0.1,F1S,O_N_37_8B,37,,8B,12.59548372,15.76933976,old-0.1-20
old method,20um,0.1,F1S,O_N_37_12A,37,,12A,15.37967102,27.03978531,old-0.1-20
old method,20um,0.1,F1S,O_N_37_17A,37,,17A,12.42739668,20.61466855,old-0.1-20
old method,20um,0.1,F1S,O_N_37_21,37,,21,20.6745428,34.80690224,old-0.1-20
old method,20um,0.1,F1S,O_N_37_30,37,,30,10.86926254,18.84126998,old-0.1-20
old method,20um,0.1,F1S,O_N_37_45,37,,45,10.73737234,19.70167572,old-0.1-20
old method,20um,0.1,F1S,O_N_1_1,1,,1,5.051976081,5.442202592,old-0.1-20
old method,20um,0.1,F1S,O_N_1_6A,1,,6A,13.00208126,14.27712444,old-0.1-20
old method,20um,0.1,F1S,O_N_1_7A,1,,7A,16.07379336,28.35958012,old-0.1-20
old method,20um,0.1,F1S,O_N_1_7B,1,,7B,14.09251378,23.57749589,old-0.1-20
old method,20um,0.1,F1S,O_N_1_8A,1,,8A,13.30313033,19.73160457,old-0.1-20
old method,20um,0.1,F1S,O_N_1_15A,1,,15A,11.25956207,10.49119776,old-0.1-20
old method,20um,0.1,F1S,O_N_1_21,1,,21,12.97925361,12.28712226,old-0.1-20
old method,20um,0.1,F2S,O_N_31_3A,31,,3A,18.58763413,26.37634262,old-0.1-20
old method,20um,0.1,F2S,O_N_31_5A,31,,5A,11.62336144,15.07904774,old-0.1-20
old method,20um,0.1,F2S,O_N_31_8,31,,8,17.40177978,27.6899049,old-0.1-20
old method,20um,0.1,F2S,O_N_31_12A,31,,12A,15.93766998,23.34935173,old-0.1-20
old method,20um,0.1,F2S,O_N_31_12B,31,,12B,16.79392305,26.41411771,old-0.1-20
old method,20um,0.1,F2S,O_N_31_16,31,,16,26.07152124,45.75368306,old-0.1-20
old method,20um,0.1,F2S,O_N_31_26,31,,26,12.89045537,17.49148024,old-0.1-20
old method,20um,0.1,F2S,O_N_31_28,31,,28,10.73436381,14.14303873,old-0.1-20
old method,20um,0.1,F2S,O_N_31_32,31,,32,18.28071167,31.49740403,old-0.1-20
old method,20um,0.1,F2S,O_N_31_39,31,,39,13.82068144,16.10685396,old-0.1-20
old method,20um,0.1,F2S,O_N_31_47,31,,47,29.20273881,35.1798162,old-0.1-20
old method,20um,0.1,F2S,O_N_31_50,31,,50,18.34811105,23.4406495,old-0.1-20
old method,20um,0.1,F2S,O_N_35_6,35,,6,13.49898126,21.67326866,old-0.1-20
old method,20um,0.1,F2S,O_N_35_28,35,,28,14.85264435,22.02929008,old-0.1-20
old method,20um,0.1,F2S,O_N_35_29,35,,29,12.15753314,24.12020717,old-0.1-20
old method,20um,0.1,F2S,O_N_35_31,35,,31,12.02635407,11.19729844,old-0.1-20
old method,20um,0.1,F2S,O_N_35_33,35,,33,13.89877324,19.11613098,old-0.1-20
old method,20um,0.1,F1F,O_N_38_2,38,,2,12.35393618,20.06138287,old-0.1-20
old method,20um,0.1,F1F,O_N_38_3,38,,3,14.03729734,20.76753605,old-0.1-20
old method,20um,0.1,F1F,O_N_38_9,38,,9,18.92762547,28.85928357,old-0.1-20
old method,20um,0.1,F1F,O_N_38_10,38,,10,9.066300857,15.02732743,old-0.1-20
old method,20um,0.1,F1F,O_N_38_13,38,,13,14.41422757,21.82856808,old-0.1-20
old method,20um,0.1,F1F,O_N_38_18,38,,18,16.1905151,17.52013578,old-0.1-20
old method,20um,0.1,F1F,O_N_38_20,38,,20,11.98930098,20.93116809,old-0.1-20
old method,20um,0.1,F1F,O_N_38_22A,38,,22A,11.44502593,20.50746845,old-0.1-20
old method,20um,0.1,F1F,O_N_38_25,38,,25,13.48810216,21.65822098,old-0.1-20
old method,20um,0.1,F1F,O_N_54A_15,54,A,15,37.03292601,29.60264692,old-0.1-20
old method,20um,0.1,F1F,O_N_2_11B,2,,11B,15.46953431,22.7160871,old-0.1-20
old method,20um,0.1,F1F,O_N_2_11A,2,,11A,13.01996863,19.989529,old-0.1-20
old method,20um,0.1,F1F,O_N_2_19,2,,19,11.23860992,20.8031098,old-0.1-20
old method,20um,0.1,F1F,O_N_14A_4,14,A,4,11.57483359,18.72412878,old-0.1-20
old method,20um,0.1,F1F,O_N_14A_15,14,A,15,14.2485776,24.32217841,old-0.1-20
old method,20um,0.1,F1F,O_N_54A_31,54,A,31,12.19881712,19.36161936,old-0.1-20
old method,20um,0.1,F1F,O_N_14A_27,14,A,27,15.96403835,24.75250132,old-0.1-20
old method,20um,0.1,F2F,O_N_32A-3,32,A,3,15.60694532,17.07642396,old-0.1-20
old method,20um,0.1,F2F,O_N_32A-21,32,A,21,12.1765512,18.70299985,old-0.1-20
old method,20um,0.1,F2F,O_N_32A-29,32,A,29,14.49029604,21.88785341,old-0.1-20
old method,20um,0.1,F2F,O_N_32B-3,32,B,3,15.05431133,25.13558536,old-0.1-20
old method,20um,0.1,F2F,O_N_32B-7,32,B,7,12.43124283,19.58601178,old-0.1-20
old method,20um,0.1,F2F,O_N_32B-16,32,B,16,20.83187563,31.97373238,old-0.1-20
old method,20um,0.1,F2F,O_N_32C-3,32,C,3,19.27865529,24.32385118,old-0.1-20
old method,20um,0.1,F2F,O_N_32C-4,32,C,4,14.80151469,24.10884744,old-0.1-20
old method,20um,0.1,F2F,O_N_32C-7,32,C,7,16.33382668,28.4005131,old-0.1-20
old method,10um,0.5,Unheated,O.N.87_A_14,87,A,14,11.63056896,13.01414548,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_17,87,A,17,12.0034062,12.89984093,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_19,87,A,19,28.87122643,34.51558101,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_22,87,A,22,19.06790537,23.46880323,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_29,87,A,29,9.326853722,8.140487213,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_4,87,A,4,11.1926132,18.26397511,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_5,87,A,5,13.82920668,14.9152125,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_A_9,87,A,9,7.125081787,8.718061538,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_13,87,B,13,10.40416914,15.53913522,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_19,87,B,19,9.960715315,14.01942877,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_23,87,B,23,14.3339327,16.73921223,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_24,87,B,24,15.03042608,19.85198856,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_28,87,B,28,18.98146926,23.54919912,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_2,87,B,2,17.85274469,25.46027058,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_31,87,B,31,24.2063829,34.03501062,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_6,87,B,6,17.5207482,17.39301198,old-0.5-10
old method,10um,0.5,Unheated,O.N.87_B_7,87,B,7,8.844621901,8.36511177,old-0.5-10
old method,10um,0.5,F1S,O_N_37_2,37,,2,27.19886825,37.31613597,old-0.5-10
old method,10um,0.5,F1S,O_N_37_3A,37,,3A,4.501225595,8.058777635,old-0.5-10
old method,10um,0.5,F1S,O_N_37_4A,37,,4A,9.397971299,18.00434102,old-0.5-10
old method,10um,0.5,F1S,O_N_37_8A,37,,8A,17.54485777,29.07156993,old-0.5-10
old method,10um,0.5,F1S,O_N_37_8B,37,,8B,15.61858804,26.29186386,old-0.5-10
old method,10um,0.5,F1S,O_N_37_12A,37,,12A,13.04513466,18.20984832,old-0.5-10
old method,10um,0.5,F1S,O_N_37_17A,37,,17A,13.89669581,22.23793443,old-0.5-10
old method,10um,0.5,F1S,O_N_37_21,37,,21,10.53334695,26.14315864,old-0.5-10
old method,10um,0.5,F1S,O_N_37_30,37,,30,7.037951682,14.82606499,old-0.5-10
old method,10um,0.5,F1S,O_N_37_45,37,,45,5.13605758,12.47411711,old-0.5-10
old method,10um,0.5,F1S,O_N_1_1,1,,1,12.12500723,12.70416428,old-0.5-10
old method,10um,0.5,F1S,O_N_1_6A,1,,6A,10.98921142,13.9932755,old-0.5-10
old method,10um,0.5,F1S,O_N_1_7A,1,,7A,14.01342951,20.85229854,old-0.5-10
old method,10um,0.5,F1S,O_N_1_7B,1,,7B,20.11412554,27.73469793,old-0.5-10
old method,10um,0.5,F1S,O_N_1_8A,1,,8A,15.81528396,19.25229653,old-0.5-10
old method,10um,0.5,F1S,O_N_1_15A,1,,15A,18.11055844,19.82778757,old-0.5-10
old method,10um,0.5,F1S,O_N_1_21,1,,21,21.30610887,27.88693093,old-0.5-10
old method,10um,0.5,F2S,O_N_31_3A,31,,3A,8.910439396,27.07065769,old-0.5-10
old method,10um,0.5,F2S,O_N_31_5A,31,,5A,6.45860329,10.43201926,old-0.5-10
old method,10um,0.5,F2S,O_N_31_8,31,,8,7.131799529,18.9288459,old-0.5-10
old method,10um,0.5,F2S,O_N_31_12A,31,,12A,9.52853591,20.69396298,old-0.5-10
old method,10um,0.5,F2S,O_N_31_12B,31,,12B,15.73898946,27.94380888,old-0.5-10
old method,10um,0.5,F2S,O_N_31_16,31,,16,18.90131658,42.35692736,old-0.5-10
old method,10um,0.5,F2S,O_N_31_26,31,,26,13.37776617,18.64272825,old-0.5-10
old method,10um,0.5,F2S,O_N_31_28,31,,28,6.358488219,9.275840522,old-0.5-10
old method,10um,0.5,F2S,O_N_31_32,31,,32,9.732265969,26.35969313,old-0.5-10
old method,10um,0.5,F2S,O_N_31_39,31,,39,9.691848634,14.92395267,old-0.5-10
old method,10um,0.5,F2S,O_N_31_47,31,,47,16.34730971,30.79032982,old-0.5-10
old method,10um,0.5,F2S,O_N_31_50,31,,50,14.54422892,27.3379087,old-0.5-10
old method,10um,0.5,F2S,O_N_35_6,35,,6,8.384431582,17.34179348,old-0.5-10
old method,10um,0.5,F2S,O_N_35_28,35,,28,7.010676688,15.76977988,old-0.5-10
old method,10um,0.5,F2S,O_N_35_29,35,,29,7.588632672,19.53867595,old-0.5-10
old method,10um,0.5,F2S,O_N_35_31,35,,31,10.07538974,13.20935765,old-0.5-10
old method,10um,0.5,F2S,O_N_35_33,35,,33,6.350960745,12.47196794,old-0.5-10
