method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,20um,2,F2S,O_N_31_26,31,,26,4.859772104,7.814372211,old-2.0-20
old method,20um,2,F2S,O_N_31_28,31,,28,2.931433053,4.441400668,old-2.0-20
old method,20um,2,F2S,O_N_31_32,31,,32,3.757639889,9.360645257,old-2.0-20
old method,20um,2,F2S,O_N_31_39,31,,39,4.268928811,6.363880482,old-2.0-20
old method,20um,2,F2S,O_N_31_47,31,,47,5.577281785,12.89618519,old-2.0-20
old method,20um,2,F2S,O_N_31_50,31,,50,6.961235424,10.96370264,old-2.0-20
old method,20um,2,F2S,O_N_35_6,35,,6,10.22262358,14.77970195,old-2.0-20
old method,20um,2,F2S,O_N_35_28,35,,28,3.351002722,6.081598143,old-2.0-20
old method,20um,2,F2S,O_N_35_29,35,,29,3.460088924,8.310473688,old-2.0-20
old method,20um,2,F2S,O_N_35_31,35,,31,4.411741583,8.372801781,old-2.0-20
old method,20um,2,F2S,O_N_35_33,35,,33,4.267275806,7.749774374,old-2.0-20
old method,20um,2,F1F,O_N_38_2,38,,2,2.777479967,5.451044881,old-2.0-20
old method,20um,2,F1F,O_N_38_3,38,,3,2.469637655,6.113168835,old-2.0-20
old method,20um,2,F1F,O_N_38_9,38,,9,4.212489787,8.974053341,old-2.0-20
old method,20um,2,F1F,O_N_38_10,38,,10,3.644606952,5.409585525,old-2.0-20
old method,20um,2,F1F,O_N_38_13,38,,13,3.962393599,7.366800882,old-2.0-20
old method,20um,2,F1F,O_N_38_18,38,,18,7.336744677,9.73482952,old-2.0-20
old method,20um,2,F1F,O_N_38_20,38,,20,3.363961082,7.155193132,old-2.0-20
old method,20um,2,F1F,O_N_38_22A,38,,22A,3.107194835,6.163137556,old-2.0-20
old method,20um,2,F1F,O_N_38_25,38,,25,4.817292198,7.831749775,old-2.0-20
old method,20um,2,F1F,O_N_54A_15,54,A,15,13.92821426,19.08973267,old-2.0-20
old method,20um,2,F1F,O_N_2_11B,2,,11B,2.774837969,6.576688509,old-2.0-20
old method,20um,2,F1F,O_N_2_11A,2,,11A,3.367830514,6.197447515,old-2.0-20
old method,20um,2,F1F,O_N_2_19,2,,19,5.873865792,7.716291073,old-2.0-20
old method,20um,2,F1F,O_N_14A_4,14,A,4,2.995357457,5.700931719,old-2.0-20
old method,20um,2,F1F,O_N_14A_15,14,A,15,5.129458559,11.87648762,old-2.0-20
old method,20um,2,F1F,O_N_54A_31,54,A,31,2.855026921,5.502728635,old-2.0-20
old method,20um,2,F1F,O_N_14A_27,14,A,27,2.656980064,7.105670668,old-2.0-20
old method,20um,2,F2F,O_N_32A-3,32,A,3,3.978735193,6.022839363,old-2.0-20
old method,20um,2,F2F,O_N_32A-21,32,A,21,6.364686771,7.937233741,old-2.0-20
old method,20um,2,F2F,O_N_32A-29,32,A,29,3.570523717,6.254166327,old-2.0-20
old method,20um,2,F2F,O_N_32B-3,32,B,3,6.469297105,11.31407499,old-2.0-20
old method,20um,2,F2F,O_N_32B-7,32,B,7,4.22868709,6.869046104,old-2.0-20
old method,20um,2,F2F,O_N_32B-16,32,B,16,4.187534077,8.977819836,old-2.0-20
old method,20um,2,F2F,O_N_32C-3,32,C,3,8.853150729,13.6742692,old-2.0-20
old method,20um,2,F2F,O_N_32C-4,32,C,4,3.246917088,6.851918872,old-2.0-20
old method,20um,2,F2F,O_N_32C-7,32,C,7,5.010159685,9.504881342,old-2.0-20
new method,10um,,Unheated,O.N.87_A_14,87,A,14,66.04534224,31.89765785,new-10
new method,10um,,Unheated,O.N.87_A_17,87,A,17,66.10652398,45.12761337,new-10
new method,10um,,Unheated,O.N.87_A_19,87,A,19,38.7413743,22.20675996,new-10
new method,10um,,Unheated,O.N.87_A_22,87,A,22,54.1488041,32.90235918,new-10
new method,10um,,Unheated,O.N.87_A_29,87,A,29,55.77753004,17.75889391,new-10
new method,10um,,Unheated,O.N.87_A_4,87,A,4,70.83467947,31.33335793,new-10
new method,10um,,Unheated,O.N.87_A_5,87,A,5,60.06734786,28.42895062,new-10
new method,10um,,Unheated,O.N.87_A_9,87,A,9,71.07018668,30.71596934,new-10
new method,10um,,Unheated,O.N.87_B_13,87,B,13,81.08432339,30.12381575,new-10
new method,10um,,Unheated,O.N.87_B_19,87,B,19,61.81660604,29.4805433,new-10
new method,10um,,Unheated,O.N.87_B_23,87,B,23,84.84744102,39.08035795,new-10
new method,10um,,Unheated,O.N.87_B_24,87,B,24,48.80091844,28.09402421,new-10
new method,10um,,Unheated,O.N.87_B_28,87,B,28,66.10130263,38.5052736,new-10
new method,10um,,Unheated,O.N.87_B_2,87,B,2,63.23181634,33.15283258,new-10
new method,10um,,Unheated,O.N.87_B_31,87,B,31,77.88777166,62.19828335,new-10
new method,10um,,Unheated,O.N.87_B_6,87,B,6,39.26001387,29.84861608,new-10
new method,10um,,Unheated,O.N.87_B_7,87,B,7,46.62281586,37.9425366,new-10
new method,10um,,F1S,O_N_37_2,37,,2,70.87044936,27.14777269,new-10
new method,10um,,F1S,O_N_37_3A,37,,3A,72.50354877,45.41984774,new-10
new method,10um,,F1S,O_N_37_4A,37,,4A,107.7978781,48.12259923,new-10
new method,10um,,F1S,O_N_37_8A,37,,8A,91.5260178,53.67106902,new-10
new method,10um,,F1S,O_N_37_8B,37,,8B,56.71319831,49.86493558,new-10
new method,10um,,F1S,O_N_37_12A,37,,12A,62.70520198,30.26130924,new-10
new method,10um,,F1S,O_N_37_17A,37,,17A,89.61790294,24.04596729,new-10
new method,10um,,F1S,O_N_37_21,37,,21,96.41729981,34.02984447,new-10
new method,10um,,F1S,O_N_37_30,37,,30,93.68662556,15.69858185,new-10
new method,10um,,F1S,O_N_37_45,37,,45,64.36269854,44.10952384,new-10
new method,10um,,F1S,O_N_1_1,1,,1,79.04723476,43.18002254,new-10
new method,10um,,F1S,O_N_1_6A,1,,6A,52.97139197,31.25778038,new-10
new method,10um,,F1S,O_N_1_7A,1,,7A,65.83506815,34.1931183,new-10
new method,10um,,F1S,O_N_1_7B,1,,7B,55.57084886,25.23895242,new-10
new method,10um,,F1S,O_N_1_8A,1,,8A,51.69005023,35.23492375,new-10
new method,10um,,F1S,O_N_1_15A,1,,15A,32.54692741,22.26197153,new-10
new method,10um,,F1S,O_N_1_21,1,,21,70.80647092,30.4735012,new-10
new method,10um,,F2S,O_N_31_3A,31,,3A,92.96904069,17.80284246,new-10
new method,10um,,F2S,O_N_31_5A,31,,5A,57.65108917,49.23530471,new-10
new method,10um,,F2S,O_N_31_8,31,,8,96.51461432,19.26656331,new-10
new method,10um,,F2S,O_N_31_12A,31,,12A,84.19760359,39.80278413,new-10
new method,10um,,F2S,O_N_31_12B,31,,12B,81.08757645,40.41670302,new-10
new method,10um,,F2S,O_N_31_16,31,,16,108.3717956,24.14049706,new-10
new method,10um,,F2S,O_N_31_26,31,,26,70.55858345,30.86129152,new-10
new method,10um,,F2S,O_N_31_28,31,,28,88.57922497,27.07304622,new-10
new method,10um,,F2S,O_N_31_32,31,,32,91.4201607,36.79782318,new-10
new method,10um,,F2S,O_N_31_39,31,,39,78.19616633,22.69325319,new-10
new method,10um,,F2S,O_N_31_47,31,,47,89.36492172,34.45631715,new-10
new method,10um,,F2S,O_N_31_50,31,,50,62.78573357,31.0975628,new-10
new method,10um,,F2S,O_N_35_6,35,,6,91.0723653,33.86254912,new-10
new method,10um,,F2S,O_N_35_28,35,,28,106.0728296,31.72103758,new-10
new method,10um,,F2S,O_N_35_29,35,,29,81.00480486,15.06529606,new-10
new method,10um,,F2S,O_N_35_31,35,,31,39.14062733,30.41958538,new-10
new method,10um,,F2S,O_N_35_33,35,,33,26.97098301,23.17437881,new-10
new method,10um,,F1F,O_N_38_2,38,,2,80.23544076,38.86355595,new-10
new method,10um,,F1F,O_N_38_3,38,,3,99.03220864,33.38429517,new-10
new method,10um,,F1F,O_N_38_9,38,,9,115.2321151,106.6240642,new-10
new method,10um,,F1F,O_N_38_10,38,,10,81.48656208,23.18515307,new-10
new method,10um,,F1F,O_N_38_13,38,,13,120.942142,64.46226235,new-10
new method,10um,,F1F,O_N_38_18,38,,18,84.77021392,26.78950352,new-10
new method,10um,,F1F,O_N_38_20,38,,20,101.2014068,20.8071997,new-10
new method,10um,,F1F,O_N_38_22A,38,,22A,79.85996145,28.04203305,new-10
new method,10um,,F1F,O_N_38_25,38,,25,85.99281731,13.99414152,new-10
new method,10um,,F1F,O_N_54A_15,54,A,15,86.61449671,31.87454837,new-10
new method,10um,,F1F,O_N_2_11B,2,,11B,83.39515747,20.36442077,new-10
new method,10um,,F1F,O_N_2_11A,2,,11A,86.18476677,29.8670619,new-10
new method,10um,,F1F,O_N_2_19,2,,19,73.57711588,6.385226306,new-10
new method,10um,,F1F,O_N_14A_4,14,A,4,108.2712987,53.41231983,new-10
new method,10um,,F1F,O_N_14A_15,14,A,15,89.87437776,18.84568329,new-10
new method,10um,,F1F,O_N_54A_31,54,A,31,95.78246589,44.05151083,new-10
new method,10um,,F1F,O_N_14A_27,14,A,27,97.53687231,32.73718334,new-10
new method,10um,,F2F,O_N_32A-3,32,A,3,81.66273826,24.11933452,new-10
new method,10um,,F2F,O_N_32A-21,32,A,21,82.57902761,41.11754379,new-10
new method,10um,,F2F,O_N_32A-29,32,A,29,77.80928693,31.15184908,new-10
new method,10um,,F2F,O_N_32B-3,32,B,3,89.8972921,24.58089458,new-10
new method,10um,,F2F,O_N_32B-7,32,B,7,89.88458014,30.03109545,new-10
new method,10um,,F2F,O_N_32B-16,32,B,16,127.1359391,127.1912741,new-10
new method,10um,,F2F,O_N_32C-3,32,C,3,70.76353669,21.94533891,new-10
new method,10um,,F2F,O_N_32C-4,32,C,4,73.16676322,28.63572285,new-10
new method,10um,,F2F,O_N_32C-7,32,C,7,107.9093693,99.42100404,new-10
