method,scale,distance,treatment,heating_condition,flake,nodule_number,nodule_sub_number,flake_number,average_curvature,standard_deviation,sheet,fuelwood,wood_density,fuelwood_key,n_source_rows
old method,10um,0.1,F1F,ember,O_N_14A_15,14,A,15,19.943144387166505,38.28154868,old-0.1-10,Protea obtusifolia,0.58,protea obtusifolia,27
old method,10um,0.1,F1F,ember,O_N_54A_31,54,A,31,15.6847896278418,24.75894751,old-0.1-10,Protea susannae,0.6,protea susannae,18
old method,10um,0.1,F1F,ember,O_N_14A_27,14,A,27,20.4714742967216,32.53266106,old-0.1-10,Protea obtusifolia,0.58,protea obtusifolia,27
old method,10um,0.1,F2F,ember,O_N_32A-3,32,A,3,20.400373657530402,23.75866744,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32A-21,32,A,21,16.0248882238075,25.54033576,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32A-29,32,A,29,18.815260475944,29.00361883,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32B-3,32,B,3,17.0377629240748,35.0219121,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32B-7,32,B,7,16.0449753315962,26.04715244,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32B-16,32,B,16,21.963968678525905,36.82466569,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32C-3,32,C,3,28.7346957255272,39.250283,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32C-4,32,C,4,19.8759986181459,35.07043681,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,10um,0.1,F2F,ember,O_N_32C-7,32,C,7,20.051559804913,35.99628669,old-0.1-10,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,Unheated,unheated,O.N.87_A_14,87,A,14,14.6553561894159,18.68450616,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_17,87,A,17,12.1765595617906,15.42857595,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_19,87,A,19,24.239692946359895,23.56939296,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_22,87,A,22,16.3848073625548,17.85248139,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_29,87,A,29,8.45483131568904,9.375455089,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_4,87,A,4,18.4545663703459,27.1459246,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_5,87,A,5,12.5157987472286,17.13513215,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_A_9,87,A,9,6.635156790031769,10.48267059,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_13,87,B,13,11.5473325721702,21.81559279,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_19,87,B,19,12.3512036052231,19.09613782,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_23,87,B,23,13.1544855189677,14.80242173,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_24,87,B,24,9.42901973313731,9.7704902830000009,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_28,87,B,28,19.4227502712796,19.20863428,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_2,87,B,2,17.1076484312481,24.8677785,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_31,87,B,31,16.9129013335779,20.64530328,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_6,87,B,6,13.0322201007512,11.59333146,old-0.1-20,none,NA,none,153
old method,20um,0.1,Unheated,unheated,O.N.87_B_7,87,B,7,10.3484736052402,11.58089826,old-0.1-20,none,NA,none,153
old method,20um,0.1,F1S,sand,O_N_37_2,37,NA,2,11.1152321229857,14.44929342,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_3A,37,NA,3A,4.45822910831935,9.35455128,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_4A,37,NA,4A,16.5085834453203,23.29976007,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_8A,37,NA,8A,12.1493021328213,18.78216739,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_8B,37,NA,8B,12.5954837222733,15.76933976,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_12A,37,NA,12A,15.3796710150743,27.03978531,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_17A,37,NA,17A,12.4273966802901,20.61466855,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_21,37,NA,21,20.674542797598296,34.80690224,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_30,37,NA,30,10.8692625449007,18.84126998,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_37_45,37,NA,45,10.7373723370018,19.70167572,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1S,sand,O_N_1_1,1,NA,1,5.05197608144378,5.442202592,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_6A,1,NA,6A,13.0020812638024,14.27712444,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_7A,1,NA,7A,16.0737933579014,28.35958012,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_7B,1,NA,7B,14.0925137789612,23.57749589,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_8A,1,NA,8A,13.3031303280551,19.73160457,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_15A,1,NA,15A,11.2595620657577,10.49119776,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F1S,sand,O_N_1_21,1,NA,21,12.9792536124486,12.28712226,old-0.1-20,Pterocelastrus tricuspidatus,0.65,pterocelastrus tricuspidatus,90
old method,20um,0.1,F2S,sand,O_N_31_3A,31,NA,3A,18.587634129500096,26.37634262,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_5A,31,NA,5A,11.6233614354602,15.07904774,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_8,31,NA,8,17.401779782166,27.6899049,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_12A,31,NA,12A,15.9376699763685,23.34935173,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_12B,31,NA,12B,16.7939230454965,26.41411771,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_16,31,NA,16,26.0715212377875,45.75368306,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_26,31,NA,26,12.8904553748777,17.49148024,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_28,31,NA,28,10.7343638087426,14.14303873,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_32,31,NA,32,18.280711674809,31.49740403,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_39,31,NA,39,13.8206814424782,16.10685396,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_47,31,NA,47,29.2027388050935,35.1798162,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_31_50,31,NA,50,18.3481110489197,23.4406495,old-0.1-20,Searsia glauca,0.72,searsia glauca,189
old method,20um,0.1,F2S,sand,O_N_35_6,35,NA,6,13.498981263587,21.67326866,old-0.1-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.1,F2S,sand,O_N_35_28,35,NA,28,14.8526443523768,22.02929008,old-0.1-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.1,F2S,sand,O_N_35_29,35,NA,29,12.1575331359691,24.12020717,old-0.1-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.1,F2S,sand,O_N_35_31,35,NA,31,12.0263540703242,11.19729844,old-0.1-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.1,F2S,sand,O_N_35_33,35,NA,33,13.8987732400285,19.11613098,old-0.1-20,Olea exasperata,0.75,olea exasperata,45
old method,20um,0.1,F1F,ember,O_N_38_2,38,NA,2,12.353936177103,20.06138287,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_3,38,NA,3,14.0372973370072,20.76753605,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_9,38,NA,9,18.9276254734936,28.85928357,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_10,38,NA,10,9.06630085704008,15.02732743,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
old method,20um,0.1,F1F,ember,O_N_38_13,38,NA,13,14.4142275715539,21.82856808,old-0.1-20,Searsia lucida,0.7,searsia lucida,171
